CLIENT,NAME,PRODUCT_TYPE,ACTION,ACTION,DATE_TRANSACTION,QTY,UNIT_PRICE,ISIN_CODE,STOCK_LIBELLE,CURRENCY,TOTAL_AMOUNT,ACTION_TYPE,'CHF_'||CURRENCY,RATE_EUR,RATE_USD
200341,,OTHER,Cash_in,I,2001-12-04 04:01:35,1,5000,,,CHF,5000,Income,CHF_CHF,0.677943121,0.604010631
200341,,OTHER,Cash_in,I,2001-12-29 21:14:02,1,1.5,,,CHF,1.5,Income,CHF_CHF,0.674946004,0.597764361
200341,SWISSCOM N,SHARE,Buy,B,2002-02-21 13:35:50,4,492,CH00087425191,SIX Swiss Exchange (SIX-Europe),CHF,1968,Trading,CHF_CHF,0.676018252,0.588304506
200341,DWS Internet-Aktien Typ O,COMMODITIES,Buy,B,2002-02-21 15:26:08,5,13,DE0009848002,Investment Funds,EUR,65,Trading,CHF_EUR,1,0.8707
200341,DWS (CH) - Money Market (USD),FUNDS,Buy,B,2002-02-21 15:26:54,1,83.24,CH0004227036,Investment Funds,USD,83.24,Trading,CHF_USD,1.148567162,1
200341,DWS (CH) - Bond Fonds (SFR),FUNDS,Buy,B,2002-02-21 15:27:17,1,82.2,CH0004164858,Investment Funds,CHF,82.2,Trading,CHF_CHF,0.675949709,0.588546878
200341,,OTHER,Cash_in,I,2002-02-28 04:01:59,1,0.4,,,CHF,0.4,Income,CHF_CHF,0.677460877,0.586046239
200341,,OTHER,Cash_in,I,2002-02-28 04:01:59,1,0.42,,,USD,0.42,Income,CHF_USD,1.156002543,1
200341,,OTHER,Cash_in,I,2002-02-28 04:01:59,1,1.4,,,EUR,1.4,Income,CHF_EUR,1,0.86505
200341,SCMNP P 03/02,DERIVATIVES,Sell,S,2002-02-28 15:45:10,4,8.2,CH00136577694,SIX Swiss Exchange,CHF,32.8,Trading,CHF_CHF,0.678334012,0.586252382
200341,BUEHRLE N20,SHARE,Buy,B,2002-03-06 10:41:03,1,185.5,CH00008168241,SIX Swiss Exchange (SIX-Europe),CHF,185.5,Trading,CHF_CHF,0.677185617,0.589935697
200341,BUEHRLE N20,SHARE,Sell,S,2002-03-06 10:42:18,1,185.25,CH00008168241,SIX Swiss Exchange (SIX-Europe),CHF,185.25,Trading,CHF_CHF,0.677185617,0.589935697
200341,CS EF Korea,FUNDS,Buy,B,2002-03-11 16:37:34,1,466.83,CH0002512611,Investment Funds,USD,466.83,Trading,CHF_USD,1.14187839,1
200341,SWISSQUOTE N,SHARE,Buy,B,2002-03-13 14:21:28,1,26.55,CH00106758634,SIX Swiss Exchange,CHF,26.55,Trading,CHF_CHF,0.680897423,0.594512648
200341,,OTHER,Cash_out,O,2002-04-10 16:28:45,1,1.4,,,EUR,1.4,Payment,CHF_EUR,1,0.87955
200341,,OTHER,Cash_in,I,2002-04-10 16:29:23,1,1.4,,,EUR,1.4,Income,CHF_EUR,1,0.87945
200341,KUDELSKI I,SHARE,Buy,B,2002-04-18 17:19:11,2,82.8,CH00122683601,SIX Swiss Exchange (SIX-Europe),CHF,165.6,Trading,CHF_CHF,0.68115251,0.605290237
200341,,OTHER,Cash_in,I,2002-05-07 08:27:58,1,28.6,,,CHF,28.6,Income,CHF_CHF,0.687072727,0.63097454
200341,CISCO SYSTEMS ORD,SHARE,Buy,B,2002-05-07 18:43:37,5,13.04,US17275R1023,NASDAQ New York,USD,65.2,Trading,CHF_USD,1.092955899,1
200341,CISCO SYSTEMS ORD,SHARE,Sell,S,2002-05-07 18:44:07,5,13.05,US17275R1023,NASDAQ New York,USD,65.25,Trading,CHF_USD,1.092955899,1
200341,SULZER MEDICA N,SHARE,Buy,B,2002-05-23 11:17:10,7,206.75,CH00065448594,SIX Swiss Exchange,CHF,1447.25,Trading,CHF_CHF,0.687781561,0.636841267
200341,CS EF Korea,FUNDS,Sell,S,2002-05-27 16:05:41,1,526.92,CH0002512611,Investment Funds,USD,526.92,Trading,CHF_USD,1.087843351,1
200341,SWISSQUOTE N,SHARE,Buy,B,2002-05-30 09:12:13,1,25.9,CH00106758634,SIX Swiss Exchange,CHF,25.9,Trading,CHF_CHF,0.680943788,0.638345409
200341,LO Funds - EU Convergence Bond P A,FUNDS,Buy,B,2002-05-31 17:45:36,10,9.95,LU0137081187,Investment Funds,EUR,99.5,Trading,CHF_EUR,1,0.93345
200341,LO Funds - EU Convergence Bond P A,FUNDS,Buy,B,2002-05-31 17:47:57,10,9.95,LU0137081187,Investment Funds,EUR,99.5,Trading,CHF_EUR,1,0.93385
200341,CENTERPULSE N,SHARE,Sell,S,2002-06-04 15:32:14,7,245,CH00065448594,SIX Swiss Exchange,CHF,1715,Trading,CHF_CHF,0.680897423,0.641992745
200341,SONOVA N,SHARE,Buy,B,2002-06-24 15:22:21,10,21.9,CH00125497854,SIX Swiss Exchange,CHF,219,Trading,CHF_CHF,0.680665691,0.666822259
200341,SONOVA N,SHARE,Sell,S,2002-06-24 15:23:01,10,21.5,CH00125497854,SIX Swiss Exchange,CHF,215,Trading,CHF_CHF,0.680665691,0.666822259
200341,WORLDCOM INC MCI GROUP,SHARE,Buy,B,2002-07-12 16:38:04,1,0.17,US98157D3044,NASDAQ New York,USD,0.17,Trading,CHF_USD,1.010815728,1
200341,WORLDCOM INC MCI GROUP,SHARE,Sell,S,2002-07-12 16:40:32,1,0.16,US98157D3044,NASDAQ New York,USD,0.16,Trading,CHF_USD,1.010713564,1
200341,,OTHER,Cash_out,O,2002-07-13 04:05:54,1,0.01,,,USD,0.01,Payment,CHF_USD,1.008725475,1
200341,KW LAUFENBURG I,SHARE,Buy,B,2002-07-18 11:38:03,5,333,CH00001767244,SIX Swiss Exchange,CHF,1665,Trading,CHF_CHF,0.683036782,0.686412465
200341,UBSETF FTSE 100 GBP DIS,ETF,Buy,B,2002-07-24 09:04:54,1,36.45,LU01362425904,SIX Swiss Exchange,CHF,36.45,Trading,CHF_CHF,0.688468158,0.681477443
200341,UBSETF FTSE 100 GBP DIS,ETF,Sell,S,2002-07-24 09:05:29,1,36,LU01362425904,SIX Swiss Exchange,CHF,36,Trading,CHF_CHF,0.688468158,0.681338148
200341,NOVARTIS N,SHARE,Buy,B,2002-07-29 10:51:21,2,58.6,CH00120052671,SIX Swiss Exchange (SIX-Europe),CHF,117.2,Trading,CHF_CHF,0.687923503,0.678195999
200341,NOVARTIS N,SHARE,Sell,S,2002-07-29 10:54:22,2,58.5,CH00120052671,SIX Swiss Exchange (SIX-Europe),CHF,117,Trading,CHF_CHF,0.687781561,0.678264998
200341,Pictet P.C.F. Germaval,FUNDS,Buy,B,2002-08-09 13:20:48,1,81.93,LU0048475809,Investment Funds,EUR,81.93,Trading,CHF_EUR,1,0.97175
200341,KW LAUFENBURG I,SHARE,Sell,S,2002-08-09 16:02:16,5,369,CH00001767244,SIX Swiss Exchange,CHF,1845,Trading,CHF_CHF,0.685377472,0.664297339
200341,DWS (CH) - Balance Global,FUNDS,Buy,B,2002-08-13 10:10:22,2,109.48,CH0003531990,Investment Funds,CHF,218.96,Trading,CHF_CHF,0.68271036,0.666777796
200341,,OTHER,Cash_in,I,2002-08-14 04:02:14,1,32,,,CHF,32,Income,CHF_CHF,0.683900971,0.674104284
200341,LO OPPORTUNITY - GLOBAL CONSERVATIVE,FUNDS,Buy,B,2002-09-02 10:42:23,1,195.55,CH0009346054,Investment Funds,CHF,195.55,Trading,CHF_CHF,0.679948324,0.667601308
200341,SWISSQUOTE N,SHARE,Sell,S,2002-09-04 12:16:51,2,15.25,CH00106758634,SIX Swiss Exchange,CHF,30.5,Trading,CHF_CHF,0.683363515,0.67867929
200341,KUDELSKI I,SHARE,Sell,S,2002-09-04 12:17:10,2,23.8,CH00122683601,SIX Swiss Exchange (SIX-Europe),CHF,47.6,Trading,CHF_CHF,0.683386865,0.678702321
200341,SWISSCOM N,SHARE,Sell,S,2002-09-04 12:18:38,4,395.5,CH00087425191,SIX Swiss Exchange (SIX-Europe),CHF,1582,Trading,CHF_CHF,0.68331682,0.678610206
200341,DWS (CH) - Money Market (USD),FUNDS,Sell,S,2002-09-06 10:31:58,1,80.88,CH0004227036,Investment Funds,USD,80.88,Trading,CHF_USD,1.00791211,1
200341,DWS (CH) - Bond Fonds (SFR),FUNDS,Sell,S,2002-09-06 10:32:36,1,83.33,CH0004164858,Investment Funds,CHF,83.33,Trading,CHF_CHF,0.685965153,0.680573043
200341,DWS (CH) - Balance Global,FUNDS,Sell,S,2002-09-06 10:33:21,2,108.18,CH0003531990,Investment Funds,CHF,216.36,Trading,CHF_CHF,0.686012211,0.680781537
200341,LO OPPORTUNITY - GLOBAL CONSERVATIVE,FUNDS,Sell,S,2002-09-06 14:38:55,1,193.79,CH0009346054,Investment Funds,CHF,193.79,Trading,CHF_CHF,0.68504881,0.676406926
200341,Pictet P.C.F. Germaval,FUNDS,Sell,S,2002-09-06 20:38:33,1,80.13,LU0048475809,Investment Funds,EUR,80.13,Trading,CHF_EUR,1,0.98125
200341,DWS Internet-Aktien Typ O,COMMODITIES,Sell,S,2002-09-09 10:13:01,5,7.18,DE0009848002,Investment Funds,EUR,35.9,Trading,CHF_EUR,1,0.97885
200341,LO Funds - EU Convergence Bond P A,FUNDS,Sell,S,2002-09-09 10:13:52,20,10.112,LU0137081187,Investment Funds,EUR,202.24,Trading,CHF_EUR,1,0.97865
