CLIENT,NAME,PRODUCT_TYPE,ACTION,ACTION,DATE_TRANSACTION,QTY,UNIT_PRICE,ISIN_CODE,STOCK_LIBELLE,CURRENCY,TOTAL_AMOUNT,ACTION_TYPE,'CHF_'||CURRENCY,RATE_EUR,RATE_USD
Persona2,ABB LTD N,SHARE,Buy,B,2023-10-24 09:18:13,40,29.87,CH00122217164,SIX Swiss Exchange,CHF,1194.8,Trading,CHF_CHF,1.051519,1.123627
Persona2,ABB LTD N,SHARE,Sell,S,2023-11-03 16:04:36,7,31.23,CH00122217164,SIX Swiss Exchange,CHF,218.61,Trading,CHF_CHF,1.037915,1.112638
Persona2,ABB LTD N,SHARE,Buy,B,2023-10-09 10:58:53,29,32.88,CH00122217164,SIX Swiss Exchange,CHF,953.52,Trading,CHF_CHF,1.041791,1.098153
Persona2,ABB LTD N,SHARE,Sell,S,2023-10-16 11:48:32,29,32.74,CH00122217164,SIX Swiss Exchange,CHF,949.46,Trading,CHF_CHF,1.051387,1.107653
Persona2,NESTLE N,SHARE,Sell,S,2023-11-03 16:04:58,3,99.89,CH00388633504,SIX Swiss Exchange,CHF,299.67,Trading,CHF_CHF,1.037899,1.112638
Persona2,NESTLE N,SHARE,Buy,B,2023-10-24 10:27:53,15,97.46,CH00388633504,SIX Swiss Exchange,CHF,1461.9,Trading,CHF_CHF,1.052914,1.12151
Persona2,RICHEMONT N,SHARE,Buy,B,2023-10-19 09:54:42,9,105.35,CH02104833324,SIX Swiss Exchange,CHF,948.15,Trading,CHF_CHF,1.054802,1.111568
Persona2,RWE ORD,SHARE,Sell,S,2023-10-05 10:56:17,25,32.98,DE0007037129,Germany,EUR,824.5,Trading,CHF_EUR,1,1.050435
Persona2,RWE ORD,SHARE,Buy,B,2023-10-03 09:33:04,25,33.12,DE0007037129,Germany,EUR,828,Trading,CHF_EUR,1,1.04716
Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Buy,B,2023-10-09 10:58:13,20,63.35,DE0007100000,Germany,EUR,1267,Trading,CHF_EUR,1,1.05399
Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Sell,S,2023-10-20 09:57:44,20,62.81,DE0007100000,Germany,EUR,1256.2,Trading,CHF_EUR,1,1.05736
